i	part	claim_index	dup_of
1383	p4	1383	1329
1384	p4	1384	1330
1385	p4	1385	1331
1386	p4	1386	1332
1387	p4	1387	1333
1388	p4	1388	1334
1389	p4	1389	1335
1390	p4	1390	1336
1391	p4	1391	1337
1392	p4	1392	1338
1393	p4	1393	1339
1394	p4	1394	1340
1395	p4	1395	1341
1396	p4	1396	1342
1397	p4	1397	1343
1398	p4	1398	1344
1399	p4	1399	1345
1400	p4	1400	1346
1401	p4	1401	1347
1402	p4	1402	1348
1403	p4	1403	1349
1404	p4	1404	1350
1405	p4	1405	1351
1406	p4	1406	1352
1407	p4	1407	1353
1408	p4	1408	1354
1409	p4	1409	1355
1410	p4	1410	1356
1411	p4	1411	1357
1412	p4	1412	1358
1413	p4	1413	1359
1414	p4	1414	1360
1415	p4	1415	1361
1416	p4	1416	1362
1417	p4	1417	1363
1418	p4	1418	1364
1419	p4	1419	1365
1420	p4	1420	1366
1421	p4	1421	1367
1422	p4	1422	1368
1423	p4	1423	1369
1424	p4	1424	1370
1425	p4	1425	1371
1426	p4	1426	1372
1427	p4	1427	1373
1428	p4	1428	
1429	p4	1429	
1430	p4	1430	
1431	p4	1431	
1432	p4	1432	
1433	p4	1433	
1434	p4	1434	
1435	p4	1435	
1436	p4	1436	
1437	p4	1437	
1438	p4	1438	
1439	p4	1439	
1440	p4	1440	
1441	p4	1441	
1442	p4	1442	
1443	p4	1443	
1444	p4	1444	
1445	p4	1445	
1446	p4	1446	
1447	p4	1447	
1448	p4	1448	
1449	p4	1449	
1450	p4	1450	
1451	p4	1451	
1452	p4	1452	
1453	p4	1453	
1454	p4	1454	
1455	p4	1455	
1456	p4	1456	
1457	p4	1457	
1458	p4	1458	
1459	p4	1459	
1460	p4	1460	
1461	p4	1461	
1462	p4	1462	
1463	p4	1463	
1464	p4	1464	
1465	p4	1465	
1466	p4	1466	
1467	p4	1467	
1468	p4	1468	
1469	p4	1469	
1470	p4	1470	
1471	p4	1471	
1472	p4	1472	
1473	p4	1473	
1474	p4	1474	
1475	p4	1475	
1476	p4	1476	
1477	p4	1477	
1478	p4	1478	
1479	p4	1479	
1480	p4	1480	
1481	p4	1481	
1482	p4	1482	
1483	p4	1483	
1484	p4	1484	
1485	p4	1485	
1486	p4	1486	
1487	p4	1487	
1488	p4	1488	
1489	p4	1489	
1490	p4	1490	
1491	p4	1491	
1492	p4	1492	
1493	p4	1493	
1494	p4	1494	
1495	p4	1495	
1496	p4	1496	
1497	p4	1497	
1498	p4	1498	
1499	p4	1499	
1500	p4	1500	
1501	p4	1501	
1502	p4	1502	
1503	p4	1503	
1504	p4	1504	
1505	p4	1505	
1506	p4	1506	
1507	p4	1507	
1508	p4	1508	
1509	p4	1509	
1510	p4	1510	
1511	p4	1511	
1512	p4	1512	
1513	p4	1513	
1514	p4	1514	
1515	p4	1515	
1516	p4	1516	
1517	p4	1517	
