theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host
1211,3.715301468259023,0.8782947790540216,0.1217052209459784,70.0,9.72031928683622
1212,3.718369429834794,0.8804858735448554,0.1195141264551446,70.0,9.712388186271207
1213,3.7214373914105656,0.8826458049440824,0.1173541950559176,70.0,9.704592866430412
1214,3.724505352986337,0.8847747818005948,0.1152252181994052,70.0,9.69693147394095
1215,3.727573314562108,0.8868730154746817,0.1131269845253183,70.0,9.68940217896912
1216,3.730641276137879,0.8889407200625206,0.1110592799374794,70.0,9.682003174719615
1217,3.73370923771365,0.8909781123202932,0.1090218876797068,70.0,9.67473267695136
1218,3.736777199289422,0.8929854115879488,0.1070145884120512,70.0,9.6675889235096
1219,3.739845160865193,0.8949628397126324,0.1050371602873676,70.0,9.660570173873664
1220,3.7429131224409646,0.8969106209718086,0.1030893790281914,70.0,9.653674708719986
1221,3.745981084016736,0.8988289819960985,0.1011710180039015,70.0,9.646900829499899
1222,3.749049045592507,0.9007181516918625,0.0992818483081375,70.0,9.640246858031778
1223,3.752117007168278,0.9025783611635289,0.0974216388364713,70.0,9.63371113610717
1224,3.7551849687440497,0.9044098436357202,0.0955901563642798,70.0,9.627292025110403
1225,3.758252930319821,0.9062128343751824,0.0937871656248175,70.0,9.620987905651358
1226,3.761320891895592,0.907987570612546,0.0920124293874541,70.0,9.614797177211019
1227,3.764388853471364,0.9097342914639418,0.0902657085360582,70.0,9.608718257799394
1228,3.767456815047135,0.9114532378524924,0.0885467621475077,70.0,9.602749583625528
1229,3.770524776622906,0.9131446524297072,0.0868553475702929,70.0,9.59688960877918
1230,3.773592738198677,0.914808779496802,0.085191220503198,70.0,9.591136804923908
1231,3.7766606997744487,0.9164458649259588,0.0835541350740413,70.0,9.585489661001208
1232,3.77972866135022,0.918056156081572,0.0819438439184281,70.0,9.579946682945371
1233,3.782796622925991,0.9196399017414733,0.0803600982585267,70.0,9.574506393408846
1234,3.785864584501762,0.921197352018182,0.0788026479818179,70.0,9.569167331497704
1235,3.788932546077534,0.9227287582801952,0.0772712417198048,70.0,9.563928052517014
1236,3.792000507653305,0.9242343730733398,0.0757656269266602,70.0,9.558787127725799
1237,3.795068469229076,0.9257144500422132,0.0742855499577868,70.0,9.55374314410135
1238,3.798136430804848,0.927169243851737,0.072830756148263,70.0,9.54879470411257
1239,3.801204392380619,0.928599010108834,0.0714009898911659,70.0,9.54394042550222
1240,3.80427235395639,0.930004005284276,0.0699959947157241,70.0,9.539178941077635
1241,3.807340315532161,0.9313844866346976,0.0686155133653024,70.0,9.534508898509891
1242,3.810408277107933,0.9327407121248176,0.0672592878751826,70.0,9.529928960141005
1243,3.813476238683704,0.9340729403498836,0.0659270596501164,70.0,9.525437802799045
1244,3.816544200259475,0.9353814304583692,0.0646185695416309,70.0,9.521034117620896
1245,3.8196121618352463,0.9366664420749282,0.0633335579250718,70.0,9.51671660988247
1246,3.822680123411018,0.937928235223653,0.062071764776347,70.0,9.512483998836148
1247,3.825748084986789,0.9391670702516424,0.0608329297483577,70.0,9.508335017555257
1248,3.82881604656256,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1249,3.831884008138332,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1250,3.834951969714103,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1251,3.838019931289874,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1252,3.841087892865645,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1253,3.844155854441417,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1254,3.847223816017188,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1255,3.8502917775929593,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1256,3.8533597391687295,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1257,3.856427700744502,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1258,3.859495662320273,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1259,3.862563623896045,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1260,3.865631585471816,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1261,3.868699547047587,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1262,3.8717675086233583,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1263,3.8748354701991294,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1264,3.877903431774901,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1265,3.880971393350672,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1266,3.8840393549264434,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1267,3.887107316502216,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1268,3.890175278077986,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1269,3.893243239653757,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1270,3.896311201229529,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1271,3.8993791628053,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1272,3.902447124381071,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1273,3.9055150859568415,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1274,3.9085830475326135,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1275,3.911651009108385,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1276,3.914718970684156,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1277,3.917786932259928,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1278,3.920854893835698,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1279,3.9239228554114702,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1280,3.9269908169872414,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1281,3.930058778563013,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1282,3.933126740138784,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1283,3.9361947017145553,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1284,3.939262663290328,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1285,3.9423306248660976,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1286,3.945398586441869,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1287,3.94846654801764,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1288,3.951534509593412,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1289,3.954602471169183,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1290,3.9576704327449534,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1291,3.9607383943207255,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1292,3.9638063558964967,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1293,3.966874317472268,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1294,3.96994227904804,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1295,3.9730102406238106,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1296,3.9760782021995817,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1297,3.979146163775354,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1298,3.982214125351125,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1299,3.985282086926896,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1300,3.988350048502667,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1301,3.9914180100784384,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1302,3.9944859716542096,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1303,3.9975539332299808,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1304,4.000621894805752,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1305,4.003689856381524,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1306,4.006757817957295,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1307,4.009825779533066,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1308,4.0128937411088375,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1309,4.015961702684608,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1310,4.01902966426038,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1311,4.022097625836151,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1312,4.025165587411922,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1313,4.028233548987694,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1314,4.031301510563465,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1315,4.034369472139236,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1316,4.037437433715008,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1317,4.040505395290779,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1318,4.04357335686655,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1319,4.0466413184423216,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1320,4.049709280018092,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1321,4.052777241593864,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1322,4.055845203169636,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1323,4.058913164745406,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1324,4.061981126321178,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1325,4.065049087896949,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1326,4.06811704947272,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1327,4.071185011048492,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1328,4.074252972624263,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1329,4.077320934200034,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
1330,4.080388895775806,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066
