theta_index,Omega_m,Omega_lambda,Omega_tot,omega_lambda_repo,age_Gyr_repo,age_Gyr_host,frw_viable,in_toy_corridor,is_near_flat
136,0.7105165704376539,0.2894834295623461,1.0,0.2894834295623461,15.040548899964758,10.40878020800248,0,1,True
137,0.7061523492616995,0.2938476507383006,1.0,0.2938476507383006,15.018698642716354,10.429188335110116,0,1,True
138,0.7017511694057879,0.2982488305942121,1.0,0.2982488305942121,14.996820549406015,10.449920122760572,0,1,True
139,0.6973131527178321,0.3026868472821679,1.0,0.3026868472821679,14.974917009099803,10.47098085295862,1,1,True
140,0.6928384273994093,0.3071615726005907,1.0,0.3071615726005907,14.952990393861857,10.492375935979284,1,1,True
141,0.6883271280046201,0.3116728719953798,1.0,0.3116728719953798,14.931043058114522,10.51411091494148,1,1,True
142,0.6837793954374296,0.3162206045625704,1.0,0.3162206045625704,14.90907733802503,10.536191470581278,1,1,True
143,0.679195376947508,0.320804623052492,1.0,0.320804623052492,14.8870955509185,10.558623426235306,1,1,True
144,0.6745752261245508,0.3254247738754492,1.0,0.3254247738754492,14.865099994717031,10.581412753045557,1,1,True
145,0.6699191028911105,0.3300808971088896,1.0,0.3300808971088896,14.843092947404688,10.604565575397324,1,1,True
146,0.6652271734938855,0.3347728265061145,1.0,0.3347728265061145,14.821076666517838,10.62808817660328,1,1,True
147,0.6604996104935539,0.3395003895064462,1.0,0.3395003895064462,14.799053388660962,10.651987004846644,1,1,True
148,0.6557365927530432,0.3442634072469568,1.0,0.3442634072469568,14.777025329047053,10.67626867939842,1,1,True
149,0.6509383054243487,0.3490616945756513,1.0,0.3490616945756513,14.754994681062753,10.70093999712337,1,1,True
150,0.6461049399338219,0.3538950600661781,1.0,0.3538950600661781,14.732963615857534,10.726007939291472,1,1,True
151,0.6412366939659713,0.3587633060340287,1.0,0.3587633060340287,14.710934281956623,10.751479678711958,1,1,True
152,0.6363337714457681,0.3636662285542319,1.0,0.3636662285542319,14.688908804897318,10.777362587208607,1,1,True
153,0.6313963825194573,0.3686036174805427,1.0,0.3686036174805427,14.666889286888184,10.803664243456025,1,1,True
154,0.6264247435338994,0.3735752564661006,1.0,0.3735752564661006,14.644877806490832,10.830392441197953,1,1,True
155,0.6214190770143966,0.3785809229856035,1.0,0.3785809229856035,14.622876418323614,10.857555197870528,1,1,True
156,0.6163796116410933,0.3836203883589066,1.0,0.3836203883589066,14.600887152787127,10.885160763654122,1,1,True
157,0.6113065822238396,0.3886934177761604,1.0,0.3886934177761604,14.578912015810586,10.913217630980329,1,1,True
158,0.6062002296756638,0.3937997703243362,1.0,0.3937997703243362,14.556952988619202,10.941734544521037,1,1,True
159,0.6010608009847112,0.3989391990152889,1.0,0.3989391990152889,14.53501202752143,10.970720511690075,1,1,True
160,0.5958885491847902,0.4041114508152098,1.0,0.4041114508152098,14.513091063716208,11.000184813688582,1,1,True
161,0.590683733324442,0.409316266675558,1.0,0.409316266675558,14.49119200311928,11.030137017128748,1,1,True
162,0.5854466184345718,0.4145533815654282,1.0,0.4145533815654282,14.469316726208314,11.060586986272558,1,1,True
163,0.5801774754946636,0.4198225245053364,1.0,0.4198225245053364,14.447467087886269,11.091544895924804,1,1,True
164,0.57487658139756,0.4251234186024399,1.0,0.4251234186024399,14.425644917362552,11.123021245023086,1,1,True
165,0.5695442189128344,0.4304557810871657,1.0,0.4304557810871657,14.40385201805142,11.155026870970318,1,1,True
166,0.5641806766487526,0.4358193233512474,1.0,0.4358193233512474,14.38209016748715,11.187572964759068,1,1,True
167,0.558786249012843,0.4412137509871569,1.0,0.4412137509871569,14.360361117255518,11.22067108694073,1,1,True
168,0.5533612361710837,0.4466387638289163,1.0,0.4466387638289163,14.338666592941086,11.2543331844968,1,1,True
169,0.5479059440057026,0.4520940559942975,1.0,0.4520940559942975,14.317008294089735,11.28857160867423,1,1,True
170,0.5424206840716175,0.4575793159283826,1.0,0.4575793159283826,14.295387894186042,11.323399133851488,1,1,True
171,0.5369057735515286,0.4630942264484715,1.0,0.4630942264484715,14.27380704064502,11.358828977507727,1,1,True
172,0.5313615352096521,0.4686384647903479,1.0,0.4686384647903479,14.252267354817636,11.394874821373438,1,1,True
173,0.5257882973441347,0.4742117026558653,1.0,0.4742117026558653,14.23077043200976,11.431550833847169,1,1,True
174,0.5201863937381388,0.4798136062618612,1.0,0.4798136062618612,14.209317841513988,11.46887169377058,1,1,True
175,0.5145561636096223,0.4854438363903777,1.0,0.4854438363903777,14.187911126653896,11.506852615661549,1,1,True
176,0.508897951559831,0.491102048440169,1.0,0.491102048440169,14.166551804840296,11.545509376513913,1,1,True
177,0.5032121075204874,0.4967878924795126,1.0,0.4967878924795126,14.145241367638958,11.584858344282068,1,1,True
178,0.4974989866997288,0.5025010133002712,1.0,0.5025010133002712,14.123981280849415,11.624916508178842,1,1,True
179,0.4917589495267879,0.5082410504732121,1.0,0.5082410504732121,14.102772984594472,11.665701510926857,1,1,True
180,0.4859923615954187,0.5140076384045813,1.0,0.5140076384045813,14.081617893419766,11.707231683116476,1,1,True
181,0.4801995936061041,0.5198004063938959,1.0,0.5198004063938959,14.060517396403174,11.749526079837308,1,1,True
182,0.4743810213070527,0.5256189786929473,1.0,0.5256189786929473,14.039472857273582,11.792604519765964,1,1,True
183,0.468537025433986,0.531462974566014,1.0,0.531462974566014,14.018485614538507,11.836487626910383,1,1,True
184,0.4626679916487549,0.5373320083512451,1.0,0.5373320083512451,13.997556981620304,11.881196875229817,1,1,True
185,0.4567743104767791,0.5432256895232209,1.0,0.5432256895232209,13.97668824700046,11.92675463637139,1,1,True
186,0.4508563772433358,0.5491436227566642,1.0,0.5491436227566642,13.95588067437163,11.973184230787718,1,1,True
187,0.4449145920087266,0.5550854079912734,1.0,0.5550854079912734,13.93513550279708,12.020509982526542,1,1,True
188,0.4389493595022988,0.5610506404977011,1.0,0.5610506404977011,13.91445394687701,12.068757278013427,1,1,True
189,0.4329610890553862,0.5670389109446138,1.0,0.5670389109446138,13.89383719692158,12.117952629180918,1,1,True
190,0.4269501945331549,0.573049805466845,1.0,0.573049805466845,13.873286419130174,12.168123741335286,1,1,True
191,0.4209170942653886,0.5790829057346114,1.0,0.5790829057346114,13.85280275577658,12.219299586193248,1,1,True
192,0.414862210976199,0.585137789023801,1.0,0.585137789023801,13.83238732539971,12.271510480567956,1,1,True
