root_index,radius,maximum_krawczyk_ratio,real_lower,real_upper,imag_lower,imag_upper
75,1.0e-18,6.77010765437077735066124971372e-15,0.73583107997247470101599944906265081260368688885346529706568686816539762815426282,0.73583107997247478908684706724951091741938762169669385229053818266448135030814644,-0.54908349304255234317845349320128298114012908140551828920390793544587172417205195,-0.54908349304255225510760587501442287632442834856228973397905662094678800201927376
76,1.0e-18,6.77010765437077735066124971372e-15,0.73583107997247470101599944906265081260368688885346529706568686816539762815426282,0.73583107997247478908684706724951091741938762169669385229053818266448135030814644,0.54908349304255225510760587501442287632442834856228973397905662094678800201927376,0.54908349304255234317845349320128298114012908140551828920390793544587172417205195
78,1.0e-18,2.63134255019759452498397835924e-15,4.5793516528077760853423400587592091198343377481828807043520423065956287850686683,4.5793516528077762378536680461235931317026460285830266904366178275158554101904707,-0.90205421686490872354638862208678120503664182969040247604164933437319887560057754,-0.90205421686490857103506063472239719316833354929025648995707381345297225048513135
79,1.0e-18,2.63134255019759452498397835924e-15,4.5793516528077760853423400587592091198343377481828807043520423065956287850686683,4.5793516528077762378536680461235931317026460285830266904366178275158554101904707,0.90205421686490857103506063472239719316833354929025648995707381345297225048513135,0.90205421686490872354638862208678120503664182969040247604164933437319887560057754
80,1.0e-18,3.02108003905763103855438411238e-14,17.848880856433434176549406550071381604035830860794096835602406885160323493814775,17.848880856433434511266592681063579295407396094713227225122029778304424375106511,28.41442283740139887622311080037783235263549447078258705206137540412053851153829,28.414422837401399210940296931370030044007059704701717441580998297264639392843292
81,1.0e-18,3.02108003905763103855438411238e-14,17.848880856433434176549406550071381604035830860794096835602406885160323493814775,17.848880856433434511266592681063579295407396094713227225122029778304424375106511,-28.414422837401399210940296931370030044007059704701717441580998297264639392843292,-28.41442283740139887622311080037783235263549447078258705206137540412053851153829
82,1.0e-18,1.20109630084416560354618015443e-15,-3.5514269007618296371583787405885804471071177092402265551169590931630388033779022,-3.5514269007618295923722363253518141830205310758827593978097378620569863343653796,0.22189362947405144405135059007426988679505698074935117345575994191961278599794328,0.22189362947405148883749300531103615088164361410681833076298117302566525500832405
83,1.0e-18,1.20109630084416560354618015443e-15,-3.5514269007618296371583787405885804471071177092402265551169590931630388033779022,-3.5514269007618295923722363253518141830205310758827593978097378620569863343653796,-0.22189362947405148883749300531103615088164361410681833076298117302566525500832405,-0.22189362947405144405135059007426988679505698074935117345575994191961278599794328
84,1.0e-18,8.12032616555349917157010344562e-15,0.60001900857241489762200733978347554524226527050892615351342444576594611178604442,0.60001900857241505867311138669252462310470809708673618788352044993763968164845788,3.5417611174840258772476800545430570013162574824197155733499058054675366769161413,3.5417611174840260382987841014521060791787003089975256077200018096392302467802129
85,1.0e-18,8.12032616555349917157010344562e-15,0.60001900857241489762200733978347554524226527050892615351342444576594611178604442,0.60001900857241505867311138669252462310470809708673618788352044993763968164845788,-3.5417611174840260382987841014521060791787003089975256077200018096392302467802129,-3.5417611174840258772476800545430570013162574824197155733499058054675366769161413
86,1.0e-18,3.74918649363713192249778215099e-15,2.4021110123053015988848870437941203527595352997769031224491260331216080364635163,2.402111012305301693949310661768018180760121088010349896940478818168800801573068,2.2244989427698736016017490845264337459669541878222290069295282794566104213205459,2.2244989427698736966661727025003315739675399760556757814208810645038031864251231
87,1.0e-18,3.74918649363713192249778215099e-15,2.4021110123053015988848870437941203527595352997769031224491260331216080364635163,2.402111012305301693949310661768018180760121088010349896940478818168800801573068,-2.2244989427698736966661727025003315739675399760556757814208810645038031864251231,-2.2244989427698736016017490845264337459669541878222290069295282794566104213205459
88,1.0e-18,2.66585409520056563829386401702e-14,7.5090331951004165260993954666379961012147565632113924834790545751160732381732236,7.5090331951004167627708247904473113027620345224408200733099000415705369300124099,-9.0146202573967051546647979392297238551897268268486974383552680880209834163012864,-9.0146202573967049179933686154204086536424488676192698485244226215665197244621001
89,1.0e-18,2.66585409520056563829386401702e-14,7.5090331951004165260993954666379961012147565632113924834790545751160732381732236,7.5090331951004167627708247904473113027620345224408200733099000415705369300124099,9.0146202573967049179933686154204086536424488676192698485244226215665197244621001,9.0146202573967051546647979392297238551897268268486974383552680880209834163012864
90,1.0e-18,2.64656782859009229686154211053e-15,4.0449164605931315965898324306917582563465734415280530358162521899990427029845087,4.0449164605931317216139288470127596456213294393960198448699859638846399451536339,3.4554567038886930840925294155138112697087904323162215414829719445718338382390474,3.4554567038886932091166258318348126589835464301841883505367057184574310804065144
91,1.0e-18,2.64656782859009229686154211053e-15,4.0449164605931315965898324306917582563465734415280530358162521899990427029845087,4.0449164605931317216139288470127596456213294393960198448699859638846399451536339,-3.4554567038886932091166258318348126589835464301841883505367057184574310804065144,-3.4554567038886930840925294155138112697087904323162215414829719445718338382390474
92,1.0e-18,7.40604515474361322051732649271e-15,2.1171931199195124424453495627579620715528632524854238851205590979185321543711559,2.1171931199195125119306717136527108655903027382039496706649914270691960674101771,-0.000000000000000034742661075447374492349776725373571332702099184744803595703606075629379458167369,0.000000000000000034742661075447374492349776725373571332702099184744803595703606075629379458167369
93,1.0e-18,1.26356023640283501138423398525e-14,7.8795784123339577288634557285379384442482227267867096456725521044510427587440959,7.8795784123339578839404471447405434031262100091347759280366761077429384881298916,-1.4406921365843482473075275215765745104295263876668899664729007510987885216902261,-1.4406921365843480922305361053739695515515391053188236841087767478068927923088521
94,1.0e-18,1.26356023640283501138423398525e-14,7.8795784123339577288634557285379384442482227267867096456725521044510427587440959,7.8795784123339578839404471447405434031262100091347759280366761077429384881298916,1.4406921365843480922305361053739695515515391053188236841087767478068927923088521,1.4406921365843482473075275215765745104295263876668899664729007510987885216902261
95,1.0e-18,1.34427359687951777941579340181e-15,1.0908603198881866385177811769658733434609511016170574624167264447614123898974811,1.0908603198881867793145832649016734793837438466749942252690532848199343879787834,-1.4847682385470896538197222679680504136054951753960180407935470790758509001467028,-1.4847682385470895130229201800322502776827024303380812779412202390173289020665058
