ic_index,psi0_real,psi0_imag,r0,ever_on_floor,floor_active_fraction,r_min,r_max,r_final,gamma,eps,h,n_steps
146,0.27528931754248986,0.21569551689662042,0.34972669952737395,True,0.9035,0.049999999999999996,0.34972669952737395,0.05,1.0,0.05,0.01,2000
147,-0.388518764608844,0.22076467026103253,0.44686001173594037,True,0.8915,0.05,0.44686001173594037,0.05,1.0,0.05,0.01,2000
148,-0.023996835756557425,0.44286992543769627,0.4435195812853338,True,0.8915,0.05,0.4435195812853338,0.05,1.0,0.05,0.01,2000
149,0.10520606712296135,1.1398861936778923,1.1447309077232757,True,0.8445,0.049999999999999996,1.1447309077232757,0.049999999999999996,1.0,0.05,0.01,2000
150,-0.18977445480109145,-1.7192691994996496,1.7297112256221319,True,0.824,0.049999999999999996,1.7297112256221319,0.049999999999999996,1.0,0.05,0.01,2000
151,-0.9131250201586981,0.43276207548052753,1.0104851886168529,True,0.8505,0.05,1.0104851886168529,0.05,1.0,0.05,0.01,2000
152,1.821492209656208,0.44197077037371824,1.8743457609798129,True,0.82,0.05,1.8743457609798129,0.05,1.0,0.05,0.01,2000
153,-0.974444554785252,-0.6144866449873585,1.1520139006185854,True,0.844,0.04999999999999999,1.1520139006185854,0.05,1.0,0.05,0.01,2000
154,-1.5103660146796045,1.1731997523332423,1.9124861194722258,True,0.819,0.05,1.9124861194722258,0.05000000000000001,1.0,0.05,0.01,2000
155,0.4914355024199504,0.5874673871729262,0.765915650728286,True,0.8645,0.05,0.765915650728286,0.05,1.0,0.05,0.01,2000
156,-1.5487984198656284,0.7111438504885774,1.7042599923327388,True,0.8245,0.05,1.7042599923327388,0.05,1.0,0.05,0.01,2000
157,-0.32876528258497606,0.8973850559185154,0.9557125873499083,True,0.8535,0.04999999999999999,0.9557125873499083,0.05000000000000001,1.0,0.05,0.01,2000
158,-0.2940754853977526,-0.4885792023665347,0.5702543538606637,True,0.879,0.049999999999999996,0.5702543538606637,0.049999999999999996,1.0,0.05,0.01,2000
159,-1.1265009289714454,1.563070621127936,1.9267055067152326,True,0.8185,0.049999999999999996,1.9267055067152326,0.05,1.0,0.05,0.01,2000
160,1.4770796106258297,-1.336053156534911,1.991683261267577,True,0.817,0.05,1.991683261267577,0.05,1.0,0.05,0.01,2000
161,-0.42784653480664003,-1.775853317577863,1.8266657228125653,True,0.821,0.04999999999999999,1.8266657228125653,0.049999999999999996,1.0,0.05,0.01,2000
162,0.10063587426840943,0.2747184283448105,0.29257100687185306,True,0.9125,0.04999999999999999,0.29257100687185306,0.049999999999999996,1.0,0.05,0.01,2000
163,0.03829480482252159,-0.7950529333036215,0.7959746596664292,True,0.8625,0.05,0.7959746596664292,0.05,1.0,0.05,0.01,2000
164,-0.9167924081673741,0.9041181342958117,1.2876093819306662,True,0.8385,0.049999999999999996,1.2876093819306662,0.049999999999999996,1.0,0.05,0.01,2000
165,0.04875488366954755,0.44307900220658114,0.44575334084896173,True,0.8915,0.049999999999999996,0.44575334084896173,0.049999999999999996,1.0,0.05,0.01,2000
166,-0.1433105398107145,1.6515614430320742,1.6577675081057133,True,0.826,0.049999999999999996,1.6577675081057133,0.049999999999999996,1.0,0.05,0.01,2000
167,0.15762273932870227,-0.24236916730118882,0.2891154461659835,True,0.913,0.05,0.2891154461659835,0.05,1.0,0.05,0.01,2000
168,-0.9404271484236684,0.28115404307148584,0.9815553053331816,True,0.852,0.049999999999999996,0.9815553053331816,0.05,1.0,0.05,0.01,2000
169,-0.04148970890064308,-0.5593520295075165,0.5608886599485121,True,0.88,0.04999999999999999,0.5608886599485121,0.04999999999999999,1.0,0.05,0.01,2000
170,-1.102622597727586,1.5048754952735737,1.8655902147294872,True,0.82,0.049999999999999996,1.8655902147294872,0.05,1.0,0.05,0.01,2000
171,0.2502730555705997,0.22876475399621787,0.3390721383652667,True,0.905,0.04999999999999999,0.3390721383652667,0.04999999999999999,1.0,0.05,0.01,2000
172,0.9713162017104482,0.49498623979281714,1.090168125240068,True,0.847,0.04999999999999999,1.090168125240068,0.05,1.0,0.05,0.01,2000
